"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AAMP",967.297747879265,-0.623169189309412,0.101189319578664,-6.15844826217021,7.34611754188039e-10,6.75651176004077e-07
"POLR2A",4227.41126320942,-0.821472126136996,0.133373654608491,-6.15917835158952,7.31233373967699e-10,6.75651176004077e-07
"RBM3",544.123638153511,-1.96692825254886,0.319752943452629,-6.15139998809817,7.68019510883895e-10,6.76945197218246e-07
"CREBBP",3465.81514570752,0.606933178848525,0.0990972408077429,6.12462238001184,9.0898925807322e-10,7.69150350611236e-07
"DNAH11",70.3944321796103,1.53123840122696,0.251004517294477,6.10044160850904,1.05775818430426e-09,8.13071830940409e-07
"MSRB3",267.402492450889,1.16493075394811,0.191168043906551,6.09375254431941,1.10294112181554e-09,8.13071830940409e-07
"ESYT1",752.960835637987,-0.527608328178602,0.0866058381494859,-6.09206422398366,1.11463945812952e-09,8.13071830940409e-07
"TXN2",495.31328174086,-0.444561021842542,0.0729088849291444,-6.09748760078532,1.07748474171237e-09,8.13071830940409e-07
"EIF6",330.539669890677,-0.63308469924316,0.104073447693938,-6.08305685331914,1.17912512153679e-09,8.31440427366308e-07
"CCDC115",341.963648493389,-0.809693280336077,0.133245351325892,-6.07670941071502,1.22673772012693e-09,8.37109991340808e-07
"KHDRBS1",1152.10702063758,-0.743214093940157,0.122607652518401,-6.06172680639666,1.3466781530939e-09,8.90238426579636e-07
"RNU11",246.831183589877,2.81447468115592,0.466034649238094,6.03919619658586,1.54883828888417e-09,9.92852277668355e-07
"ARFGAP2",1189.50396317102,-0.668055974391264,0.111235596811103,-6.00577507149746,1.90420026919268e-09,1.18474860277947e-06
"LINC00997",141.35962335052,0.874038666889318,0.146009597668436,5.98617269581222,2.14836261781842e-09,1.22828277884678e-06
"HINT2",121.899225493572,-0.812975312857137,0.135796745131293,-5.98670691312315,2.14132132664402e-09,1.22828277884678e-06
"TUFM",990.096687943622,-0.535601636686808,0.0893952868973171,-5.99138562307005,2.08060630709209e-09,1.22828277884678e-06
"SNX17",890.158657016646,-0.768788166013301,0.128565751650225,-5.97972754131957,2.23511147590106e-09,1.24425126740029e-06
"MAN1B1-AS1",66.7119081025541,-1.7745912032778,0.297703799036626,-5.96092898048465,2.508079617745e-09,1.3604081085584e-06
"ARHGAP42",142.445628606023,1.08280592940667,0.182368421187562,5.9374639663795,2.89464638040229e-09,1.49349633002512e-06
"BECN1",437.325012928939,-0.689545274142788,0.116078706513707,-5.94032527457016,2.84457095143933e-09,1.49349633002512e-06
"SNORA44",65.695761431548,1.35121951794025,0.229776483990549,5.88058227053306,4.08825740754701e-09,2.05911898093451e-06
"LOC100506860",199.159811737635,1.33900225911477,0.229314103255993,5.83916226739872,5.24639527952213e-09,2.5809824591398e-06
"STK38",296.489860799042,0.840031320018297,0.144067265622207,5.83082712363779,5.51533018461561e-09,2.65162033466724e-06
"HSD17B8",44.3278348835113,-1.50790913776753,0.259983303082949,-5.80002300104028,6.63058240914947e-09,3.11696311740329e-06
"ACTB",24184.1456297647,-1.11583224058435,0.192919732772658,-5.78391968798379,7.29797944365886e-09,3.35611863372086e-06
"SUMF2",523.406316197022,-0.945118359879293,0.164213747619832,-5.75541557012216,8.64289107401323e-09,3.89003654850374e-06
"EIF5AL1",99.4197048289468,-0.85568907042504,0.14891618731539,-5.74611186232411,9.13189058963891e-09,4.02450028194211e-06
"TMEM141",270.333787585758,-0.767312564023877,0.133849086664086,-5.73266940513056,9.88622114798852e-09,4.26802290131733e-06
"AHCY",571.61253325743,-0.725033364640917,0.1268636912103,-5.71505808891405,1.09666555745122e-08,4.63977264046461e-06
"LYG2",15.8273722603551,1.66654432482275,0.292566104174309,5.69630008755159,1.22435300154432e-08,5.02095287635574e-06
"USP5",1666.5406946423,-0.889053148907561,0.156113121851779,-5.69492902557975,1.23423253082395e-08,5.02095287635574e-06
"SYT11",9067.92850198537,-0.996218280906751,0.175773119178371,-5.66763726765188,1.44780057724829e-08,5.46906668055543e-06
"NDUFV1",1499.14992624595,-0.66408047494245,0.117124197012149,-5.66988284131899,1.42895201429889e-08,5.46906668055543e-06
"GMPR2",458.072634258605,-0.696209783239821,0.122716251833738,-5.67332992033589,1.40048139757862e-08,5.46906668055543e-06
"SNRPB",291.025081338005,-0.8802880817411,0.15531130080062,-5.66789459107786,1.44562850287423e-08,5.46906668055543e-06
"TXN",295.109229263087,-0.854258435027308,0.151277983690428,-5.64694487715703,1.63324168449039e-08,6.06133238486134e-06
"PSMB4",682.671757785697,-0.895521007080918,0.158841131780093,-5.6378407597896,1.72195626840041e-08,6.139294659443e-06
"ANTXR2",103.10287999094,0.924331521116014,0.164050156830561,5.63444460507714,1.75623399705989e-08,6.139294659443e-06
"LOC100506136",28.3488612106245,2.23447413673299,0.396671036411114,5.63306602102694,1.7703364575306e-08,6.139294659443e-06
"CEP152",118.567557637855,1.05983883937726,0.187928593002373,5.63958268640835,1.70462781094948e-08,6.139294659443e-06
"TRAPPC9",1157.63138959,-0.462733587715608,0.0824369420691397,-5.61318234399712,1.98639082907948e-08,6.69186969207264e-06
"ACTG1",10544.8474442622,-1.0412874112849,0.185526333370076,-5.61261246514154,1.99294597050476e-08,6.69186969207264e-06
"CAPZB",1254.47636381555,-0.533213782876217,0.0954442050952512,-5.58665434265057,2.31485819904247e-08,7.44911334812966e-06
"FEN1",195.813892071102,-1.03640457367242,0.185415718023532,-5.58962629878491,2.27558804620005e-08,7.44911334812966e-06
"GTF2H3",213.987554868402,-0.793591352123712,0.142068888926712,-5.58596155793896,2.324106462024e-08,7.44911334812966e-06
"FAM151A",47.4894201820973,2.16100653305641,0.387720746505513,5.57361594016656,2.49505467686178e-08,7.87766964691553e-06
"ALKBH3",139.319372090057,-0.698852067707114,0.125600492844936,-5.56408698626608,2.63528476609461e-08,8.08996133484835e-06
"CNPY2",351.812598412604,-0.719500307657529,0.129316848571483,-5.56385587497369,2.63877910610067e-08,8.08996133484835e-06
"IGSF8",3306.34560808146,-0.973078447162937,0.175595920879508,-5.54157774445486,2.99758435232052e-08,9.05869991271261e-06
"KIF22",243.622848767495,-0.637436838678354,0.115151723442367,-5.53562569124196,3.10119239302249e-08,9.23980618056306e-06
