"gene","kME"
"LONRF3",0.728017010000521
"LINC01167",0.727151999234981
"LOC101928807",0.726629304363209
"ZIC2",0.726429933245401
"PPP1R3G",0.725196948158325
"CES3",0.724457738336739
"CDC42P3",0.722591759417058
"LOC728095",0.721986554310518
"WNT7A",0.721708808737059
"NPIPA1",0.721079179423701
"LOC105379252",0.720112788506096
"ITGA2B",0.71960448992571
"FER1L4",0.719366200445852
"SSC5D",0.717664348427949
"LOC101927503",0.716946151690033
"ALOX15",0.71632212281505
"MERTK",0.712608705421195
"LRRC3-AS1",0.712169511924837
"MSX1",0.710406369268375
"NR2E3",0.710353809055013
"ART1",0.709732550643756
"CXCR3",0.706186270663864
"DDIT4L",0.705252751386399
"ATP4A",0.705178890059925
"PYGM",0.704212934759405
"LOC101927969",0.703641031136495
"FAM27E3",0.702304270710063
"EPB41",0.702068028940845
"TMEM191B",0.699893197228103
"GALR3",0.697723009602888
"TPD52L1",0.694480364085736
"ZP1",0.69424538689752
"SLC12A3",0.693861667880831
"SCARNA22",0.6936191519575
"SNORD116-8",0.693366994720361
"ENHO",0.692879291395464
"RCVRN",0.691457953970333
"PI4KAP2",0.691448088154483
"TNXB",0.691062851364336
"TUSC5",0.689128235660418
"FAM181A",0.688556448194324
"KCNJ16",0.686791289857072
"MIR149",0.681428699852196
"GLI3",0.681323263140942
"MYOG",0.680764726858101
"SLC22A12",0.679403621474124
"LINC01301",0.678978631207235
"LOC100506497",0.67693875008961
"LINC00901",0.676869373954053
"HAP1",0.674996438362631
"FAM41C",0.674946654657545
"GJA1",0.67411392445608
"FLG",0.672762231020222
"PLEKHG4B",0.672189986150996
"PRSS50",0.671921993420149
"TSPAN9",0.670220801457858
"G0S2",0.670056708950145
"COBLL1",0.666901049176864
"ERVV-1",0.666879539928744
"RIBC2",0.665439540678001
"ABO",0.665085822068902
"PLA2G3",0.663353733453023
"TSPEAR",0.662814053118668
"LINC00982",0.659994894077985
"TPSD1",0.659114844569792
"KDF1",0.658336744089212
"ESPN",0.657405805188063
"PLEKHN1",0.655661873257447
"LINC00937",0.652375391941526
"MEIKIN",0.652198253146029
"FGF23",0.651696270744372
"SLC6A13",0.651009895722908
"PMEL",0.650495904628655
"BAG3",0.650328779372887
"SLC25A18",0.646341398324378
"LINC01341",0.644883736242805
"GLI1",0.642352170958425
"KLF2",0.641713532801451
"RYR3",0.640329072930651
"LINC00842",0.639122047651728
"AMH",0.638875720700486
"GRAMD1C",0.631981938167479
"SYTL1",0.627397505106019
"MGAM2",0.626811997545317
"FAM181A-AS1",0.625683721504401
"SLCO4A1",0.625386011634753
"C4orf19",0.624407098020435
"BTNL9",0.623187058301561
"ADARB2-AS1",0.623083621650679
"LINC01599",0.62296311095035
"SLC15A2",0.621968444038246
"RNF223",0.620631171825315
"RGR",0.619169390572416
"HPSE2",0.619078922334703
"PERM1",0.617035214312583
"ZNF469",0.615555123769581
"SMAD6",0.614023803716448
"RHOD",0.613143258144688
"ARAP3",0.6113898204685
"HIST1H4B",0.611331670223674
"HSPB1",0.607065520288059
"LINC00930",0.606964128296232
"SEMA3F",0.606545432400676
"LOC102725080",0.606370516855531
"TMEM75",0.601076352082021
"AQP7P1",0.596936153222534
"CRYBB2",0.594739757137347
"MIR7-3",0.593731956412082
"FLJ42627",0.59153165460576
"LSMEM1",0.58754346093411
"LOC100288162",0.585092216282444
"NPIPB3",0.580610289274541
"SOD3",0.579982698189039
"CXCL12",0.578046742113933
"MMEL1",0.575148640101628
"FLT1",0.571293300823916
"LOC101929567",0.567630084972476
"ST8SIA6",0.567023163332525
"SNORD67",0.565939894455599
"LOC101929124",0.562945782012601
"F11-AS1",0.562769531656079
"SERPINH1",0.561073116511738
"STON2",0.560576384409679
"LINC01726",0.560147724074514
"CLEC3B",0.560096687089991
"LINC00402",0.558405220355644
"GDPD2",0.555316405507965
"SPR",0.554972674378293
"FSCN3",0.553392810919369
"ARHGEF26-AS1",0.552708652938346
"KLF4",0.547605999405177
"MIR3198-1",0.54747973588324
"VEGFA",0.546742959860672
"LOC101927583",0.544841875498955
"PAX6",0.543549207804344
"SNX31",0.539609438221604
"HLA-DPB2",0.538585109133721
"LINC00163",0.538323013645067
"RNU11",0.535951013909895
"SLC34A2",0.531100119059689
"SLC2A14",0.530295267271149
"MMD2",0.526564333490526
"ITIH5",0.525854089009082
"DSP",0.525599818343096
"ADAMTS2",0.520727439298862
"GCGR",0.519486442723286
"NR4A1",0.515972267604046
"SLC4A11",0.514330965198537
"TPRX1",0.513479724933403
"EPPK1",0.511205919818801
"PCSK9",0.509585174217792
"CLCNKA",0.508666969875664
"ASTL",0.508419535038018
"ZNF366",0.507703423213956
"LINC01532",0.502182686550012
"SLC7A11",0.501085552576468
"ULBP1",0.496763606830392
"PRKXP1",0.491199384419025
"FLG2",0.486764250206708
"SYT2",0.485107943781851
"BBOX1",0.483723204014121
"ANKRD20A11P",0.483440792963753
"FOXF1",0.481498599572307
"CYSLTR2",0.480427822172466
"DNAJB1",0.479537381147038
"IRX3",0.478905870473281
"MST1L",0.478850215991016
"PCK1",0.47511705252053
"SHISA8",0.474905559845126
"SLC13A4",0.474834032273374
"TRPM3",0.471554277020695
"IL17REL",0.468762905840546
"WNT3A",0.468235352288538
"NQO1",0.46784188345751
"ANXA3",0.467239587981449
"PF4",0.464223673050844
"PPBP",0.458805992950156
"MGAM",0.458700574819943
"MGP",0.453630002504488
"OLFML2A",0.453573911809585
"PABPN1L",0.453458945732718
"CLEC2B",0.451617406563251
"FCER2",0.450320736823476
"SSTR5",0.449792187557988
"USH1G",0.449162432304323
"MTRNR2L2",0.445646858838312
"SLC5A5",0.444194878172546
"LOC400558",0.437614589688672
"LYVE1",0.435763871902864
"LINC01338",0.434157080248035
"C20orf203",0.433610750842787
"KLHL25",0.432001282863519
"EOMES",0.427745265719868
"INSRR",0.427618367268471
"FAM106CP",0.426961491214836
"DACT2",0.426515648516279
"RASA4",0.425599858176969
"MTRNR2L1",0.422858794202617
"FAM86B1",0.418199476454738
"STAC",0.418089549176339
"NANOS2",0.416205782454272
"GADD45G",0.415023168220238
"LOC102723753",0.40715021928928
"GPNMB",0.407148693045312
"NAPRT",0.406836679285639
"TTLL10",0.402364801073197
"TSIX",0.401590934342296
"CLEC5A",0.397865973990346
"CXCR1",0.393993036225685
"GEM",0.390283718385189
"IL1R1",0.387495181456895
"NRK",0.38666519877674
"CRTAM",0.384089083350523
"EMP3",0.380677270924088
"PDLIM4",0.380218774125349
"C2orf78",0.374792923784457
"UCN2",0.369036807971433
"ATP6V1B1",0.36859296737021
