"gene","kME"
"LINC00260",0.864050275502758
"SMG1P7",0.864025271749317
"HGFAC",0.864002104732402
"EVC2",0.8636959211469
"GSDMB",0.862828807503888
"PLIN4",0.86281166988965
"NFKBID",0.86270880425523
"LAT",0.862639870431645
"EVA1B",0.860670396365791
"GRM6",0.860657289374079
"MYBPH",0.860201707354095
"MGAT3-AS1",0.859468764672908
"TMEM204",0.858210926897434
"PHF21B",0.858057500358118
"PTOV1-AS2",0.858015186619879
"PCP2",0.856341616602436
"FAM71F2",0.855628452194784
"FAM151A",0.855573189226507
"COL7A1",0.855459269620685
"LOC283440",0.854990545778209
"ACTL10",0.854903469703309
"LOC105371414",0.854645727755969
"SLC22A7",0.853617417565733
"LOC101927000",0.852658249929526
"AJUBA",0.852320354366899
"GZMM",0.852055857232004
"CHRNA10",0.851979233472422
"LOC100134368",0.851764853783827
"CCDC36",0.849864045864743
"OR2H2",0.849750007842221
"CSNK1G2-AS1",0.84955864681706
"MKNK2",0.84951460484577
"RAD54L",0.849348497938147
"LOC101926963",0.84923677824917
"HK3",0.84890052046038
"DOK7",0.848594378225042
"CARD14",0.848049619520168
"CCDC102A",0.846585253026847
"TAS1R3",0.846504317262571
"FAM227A",0.846040715905824
"DNAH11",0.845809791624029
"CCDC88B",0.845600277350501
"TLR9",0.844534210024827
"ERI3-IT1",0.843887299857194
"MIR661",0.843647918137774
"TSSK3",0.84281565488151
"LINC01567",0.842527912148562
"CROCC",0.842251097306969
"LOC101927793",0.842065601506362
"SLC25A25-AS1",0.839114395249939
"SH2D7",0.838882562693334
"MC1R",0.838683762866919
"SLC35G6",0.837828970121327
"LINC00514",0.837801659526821
"MICALL2",0.836748957517803
"MIR648",0.836348260083446
"HIGD1B",0.835790201229176
"THRSP",0.835580743776931
"NTRK3-AS1",0.834760468256308
"AATK-AS1",0.834464614686318
"RGL3",0.83412588215544
"C10orf113",0.832219645232082
"C22orf34",0.831452696472844
"TMPRSS6",0.830999115250498
"TPM2",0.830208220252243
"LOC102724814",0.829179404130008
"SLC25A34",0.828737448185167
"BRICD5",0.828611561891716
"ITPK1-AS1",0.828106775699856
"ELMO3",0.827010679623832
"LOC105372383",0.826101438839701
"PLAC4",0.825316289132097
"CLDN18",0.82508141293416
"LOC100129027",0.824325954958233
"CELSR1",0.824148780742903
"STH",0.822655052632968
"SALL3",0.822469801284056
"ATP2A1",0.821714405742613
"AGAP1-IT1",0.821241975831607
"AP1G2",0.821173960195099
"ADAM8",0.820925702556188
"CAPN12",0.819185598418188
"HRAT92",0.818553687872202
"ETV4",0.818406615192565
"MMP25",0.817597939584055
"PGLYRP1",0.817585159662978
"KRTAP5-1",0.817123038964493
"STAB2",0.816205766438592
"SPACA6",0.815912073341968
"LOC100129917",0.81545717298367
"WDR97",0.814691854376483
"GCNA",0.814010526146902
"CRYBB3",0.813867978134851
"CNTD2",0.81337029021498
"SLC10A1",0.813165568531152
"PLEKHG6",0.811539925659959
"LEF1",0.811413461559508
"TNK1",0.810606717387912
"MIR194-2HG",0.809926110478412
"MRGPRF",0.809599890909565
"RFX2",0.80959109389124
"HTR3E",0.809569759144323
"CNTFR-AS1",0.808935809181134
"GPER1",0.808856495744346
"LINC00472",0.807634499138969
"LOC101929998",0.807615390190916
"TBX3",0.806717072982703
"AATBC",0.80607358799686
"LCN10",0.805930352491472
"POLE",0.805901185812149
"LINC01529",0.804215571010416
"GPT",0.804212704476481
"FOXJ1",0.804134198143086
"MUC6",0.803964929238295
"NFATC4",0.803725090600304
"KLHL17",0.802853163365547
"DSCAM-AS1",0.802475034524617
"PRR34",0.802323128418031
"PP14571",0.801237108421674
"ADAMTSL5",0.801096526899264
"LINC01000",0.800860115532293
"NINL",0.800769980479012
"TJP3",0.800292737680735
"NUTM1",0.799626335891614
"LOC100129316",0.799546615079494
"LOC100506860",0.799215396891156
"SLC22A20",0.798824589604771
"ANKRD53",0.798483648057148
"OXER1",0.797458269506811
"CYP2D7",0.797074442914565
"SLC26A1",0.796228691169435
"SPACA6P-AS",0.79620003689895
"CLDN9",0.796160162332496
"CCDC120",0.795099358721295
"LOC105370697",0.795042141379645
"DERL3",0.793736579733618
"CLEC18B",0.793208552678397
"ZIC5",0.793158687545016
"DLG3-AS1",0.792936288974429
"C6orf118",0.792663613654852
"DLEC1",0.79107891423016
"SLCO4A1-AS1",0.79106824651443
"TRIP10",0.790658015984169
"COL5A3",0.789905274867741
"C9orf131",0.789869864171674
"FGFR4",0.789151748337204
"TBX18",0.788880308429036
"MDGA1",0.788812447398401
"ATP10A",0.788408874259451
"LINC00304",0.786897587131531
"SLC47A2",0.7852839004119
"PRSS8",0.784481881890179
"PLK5",0.78444621348324
"CKM",0.784063294808557
"ESPNL",0.782835847774641
"OVOL3",0.782295563173989
"CCDC40",0.780971447765519
"MGC34796",0.780435221884899
"EBF1",0.78033261595326
"PLIN5",0.779833876627847
"MSH4",0.779434725602118
"SLC23A3",0.778824729130446
"TEAD2",0.778804172872658
"CFAP100",0.778092030661791
"CCDC151",0.777501861048361
"LINGO1-AS1",0.776845356077108
"LOC101928123",0.776413705210286
"SLC7A9",0.776057685433055
"NWD1",0.776003251658994
"DRD4",0.775950266340041
"CLEC18A",0.774743033186271
"PARD6G",0.774565453421072
"CASC10",0.774119495407393
"SERPIND1",0.773745429360178
"PABPN1",0.773501418308549
"TMPRSS9",0.773228311027281
"LOC101929613",0.772965481607445
"BCAM",0.772384980409857
"NUP210L",0.771871977764604
"EME2",0.771863330635051
"LOC101927623",0.771160361708902
"LOC101928514",0.770620418948928
"LOC100335030",0.770134607100387
"LINC01588",0.769689046250145
"DAO",0.769103215817203
"LINC00942",0.768808306060697
"MST1R",0.768455088665485
"ADGRA2",0.767502976910434
"GATA2-AS1",0.767019124442176
"ANO2",0.764920799204802
"CXCR5",0.76331798117512
"STAC3",0.763261003141665
"VWCE",0.762109053942169
"TDRD10",0.760307980484669
"NPFF",0.759526326366474
"SGCA",0.759231828943239
"FAM118A",0.759104741566732
"LOC101927911",0.758923598751442
"GABRR2",0.758742871690798
"SGK494",0.757319495704587
"GAREM2",0.75716673089295
"MUC20",0.754618165295547
"LOC105374250",0.753904440729539
"PCAT19",0.748088640013437
"LPIN3",0.74766759474489
"NPC1L1",0.747241248164797
"KIAA1683",0.747119695556019
"LINC00319",0.746937921951485
"PROZ",0.746026698293594
"FOXD1",0.744572437834515
"RAX2",0.742893027591596
"SEC1P",0.740563877848578
"LAMA5-AS1",0.740260178810217
"SLC7A11-AS1",0.740179530542697
"FAM129C",0.739446301063591
"VAC14-AS1",0.73818486342595
"ESPNP",0.737222811568613
"LOC440982",0.731910819763386
"HERC2P3",0.730175023581784
"HIF3A",0.730129076028371
"CLDN19",0.729447704528941
"LOC101927164",0.729401612777961
"TNS3",0.728991244471776
"KANK2",0.728467732003172
"ABHD11-AS1",0.726134824108604
"ITIH3",0.725913826327281
"LOC101929372",0.724479834226233
"ABCC3",0.722875482482557
"CASS4",0.7219899026152
"EXOC3L2",0.721498553404416
"FZD7",0.719825846615254
"ERN2",0.71925604512768
"AOC3",0.718551285325219
"C7orf61",0.716482302223122
"COL6A2",0.716030010566854
"BMP7-AS1",0.716004092304959
"CEACAM16",0.715970896000434
"SERPINF2",0.71564060485196
"FAM229A",0.714677592790049
"FAAHP1",0.711867305306584
"EPS8L3",0.71177282541496
"TSPAN10",0.711372447321575
"LAMB4",0.711126784595538
"REP15",0.708500331766383
"ZIC4",0.707975636744397
"PRR34-AS1",0.706269507793387
"LOC105371184",0.705937383333341
"F2RL3",0.705621462871598
"FAM27E2",0.70544222264733
"SH2D3A",0.7051420235345
"LOC101929227",0.705007718232005
"FAM64A",0.704520384752989
"KRT19",0.702917859967457
"A2ML1",0.702512841347468
"PAPLN",0.698252931991745
"CLCNKB",0.697994903471549
"DLL4",0.694800503028379
"RCC1",0.693756761880212
"SLC6A12",0.691909853082915
"LMAN1L",0.691531115307392
"JMJD6",0.685067548043092
"NOTCH3",0.684435204366269
"NEAT1",0.684374039223186
"LOC101059948",0.683077769937125
"FTCD",0.683021426323284
"MECOM",0.68154135165256
"LOC101927274",0.681496615667612
"CCNA2",0.681280973575433
"LCN8",0.680719613551587
"ITGB1BP2",0.677710432191775
"CFAP53",0.674947646585895
"CCNJL",0.674927015160114
