"TF","mean_AD","mean_Old","mean_Young","diff_AD_vs_Old","diff_AD_vs_Young","pval_AD_vs_Old","pval_AD_vs_Young","padj_AD_vs_Old","padj_AD_vs_Young"
"GATA1",1.6619752457721,1.88209224259001,1.78957505041468,-0.220116996817903,-0.127599804642571,0.615756672032683,0.793305269522504,0.875652111059524,0.918278017460981
"KMT2A",0.508858527949208,0.592504764773232,0.819382835872601,-0.0836462368240243,-0.310524307923393,0.627836359961229,0.143161857968805,0.875652111059524,0.448043592532
"CEBPB",2.10957265364345,1.930084560893,1.93553805201998,0.179488092750446,0.174034601623471,0.647005529971906,0.489769898161036,0.875652111059524,0.701781800049852
"ESRRA",0.260189306322405,0.227715912574924,0.315085510741718,0.032473393747481,-0.0548962044193128,0.648913663016785,0.485886721624807,0.875652111059524,0.701781800049852
"TEAD1",13.6551581270632,13.9929326723834,14.6735582901413,-0.337774545320229,-1.01840016307805,0.650451784510465,0.162179196567105,0.875652111059524,0.469853193365137
"ATF6",17.6067495646025,17.6953048378659,18.0097810217994,-0.0885552732634238,-0.403031457196885,0.653160967838539,0.0224742941551739,0.875652111059524,0.289950096215625
"STAT1",13.1086847637936,13.14611383123,13.0821946149993,-0.0374290674364381,0.0264901487942861,0.656243730802518,0.760405304111675,0.875652111059524,0.913182793117406
"ESR1",13.3618579062747,13.3804817594205,13.1895593215314,-0.0186238531457352,0.172298584743293,0.660029716466351,0.033213159194768,0.875652111059524,0.307768794936667
"SOX9",2.56496636421665,2.40189442995704,3.10080977624004,0.163071934259613,-0.535843412023388,0.673610308444595,0.273792020661296,0.875652111059524,0.577379346121012
"FOXM1",3.00283827254842,2.81107876308737,2.66757451225288,0.191759509461047,0.335263760295536,0.67404764335868,0.498306603585694,0.875652111059524,0.701781800049852
"VDR",14.3852542817196,14.4110803504954,14.4015909359058,-0.0258260687757783,-0.016336654186242,0.676740463120331,0.809128278386775,0.875652111059524,0.926285902901993
"EGR1",14.4363249808984,14.4702014148897,14.2952634572929,-0.0338764339912974,0.141061523605417,0.684910564224899,0.107657122531098,0.875652111059524,0.404313098857789
"STAT3",9.0331192492998,9.54487043546154,10.1991055988337,-0.511751186161737,-1.16598634953385,0.690822906839211,0.245217975454397,0.875652111059524,0.545287340155171
"MITF",15.8937142760177,15.8832167151711,15.7955086318779,0.010497560846531,0.0982056441397674,0.6915293142126,0.0514582852861824,0.875652111059524,0.307768794936667
"SPI1",13.772136604862,13.7335772333451,13.6637508084488,0.0385593715169037,0.10838579641325,0.694747774788646,0.425582617621722,0.875652111059524,0.684985355981629
"MAZ",16.0656417392611,15.8437109115218,15.6418816578035,0.221930827739268,0.42376008145758,0.695584600398243,0.497248513623794,0.875652111059524,0.701781800049852
"NR1H2",17.1005850661344,17.0123367371326,16.9912143081048,0.0882483290017895,0.109370758029581,0.699604005497764,0.598495192013538,0.875652111059524,0.809165499602303
"FOXA1",15.1372880934412,15.1590558591772,15.0021419619788,-0.0217677657359268,0.135146131462427,0.721070922892957,0.228463038217827,0.875652111059524,0.543849195041533
"SMAD4",1.80600424605469,2.04820268644722,2.09905772156872,-0.242198440392528,-0.293053475514031,0.721223694287322,0.698512682020375,0.875652111059524,0.868004729863554
"E2F4",12.5633895840311,12.5514090068651,12.6732990269889,0.0119805771660495,-0.109909442957779,0.726718869139519,0.075035390787043,0.875652111059524,0.333710027447639
"STAT2",11.0109243721085,10.5981521854044,9.70172414744372,0.412772186704141,1.3092002246648,0.732763681345836,0.451086090255156,0.875652111059524,0.698218126191353
"TBX21",7.34064409094988,7.47481292481154,6.89599648804064,-0.134168833861658,0.444647602909245,0.733953311258076,0.199871886736139,0.875652111059524,0.507396244959728
"TAL1",15.9875106198987,15.975029519114,15.863686897818,0.0124811007846777,0.123823722080697,0.735540226993569,0.00350810246514668,0.875652111059524,0.137986871078726
"KLF6",1.01992427198948,0.924701894955367,1.80858992186391,0.0952223770341141,-0.788665649874428,0.741635513660387,0.240467656881056,0.875652111059524,0.545287340155171
"CEBPE",-0.353852108471198,-0.309879471069956,-0.740321876477528,-0.0439726374012413,0.386469768006331,0.744824972467967,0.0609236492766454,0.875652111059524,0.307768794936667
"ESR2",7.6487014817417,7.99051728422495,6.38096946242254,-0.341815802483249,1.26773201931916,0.749443028768315,0.116705120674881,0.875652111059524,0.404313098857789
